X,Y,LandUse,Latitude,Longitude
624883.1828,6202529.464,Naturalgrassland,-34.31097085,-55.64276765
625749.182,6204165.913,Naturalgrassland,-34.29611214,-55.63359733
626240.2673,6225195.941,Naturalgrassland,-34.106445,-55.63133065
627127.6346,6205888.658,Naturalgrassland,-34.28041215,-55.61887693
627285.9981,6205594.684,Naturalgrassland,-34.28304319,-55.61711349
627425.4937,6206441.221,Naturalgrassland,-34.27539381,-55.61572348
628613.3399,6208021.678,Naturalgrassland,-34.26099824,-55.60305846
628888.241,6224317.292,Naturalgrassland,-34.11404375,-55.60249903
629167.1651,6224596.216,Naturalgrassland,-34.11149451,-55.59951698
629151.022,6208815.537,Naturalgrassland,-34.25377425,-55.59733875
629283.9171,6209557.541,Naturalgrassland,-34.24706795,-55.59600694
629592.2964,6223674.474,Naturalgrassland,-34.11975233,-55.59477128
629746.7703,6209712.93,Naturalgrassland,-34.24560932,-55.59100515
630112.6924,6223087.746,Naturalgrassland,-34.12497758,-55.58904201
630169.6307,6223343.44,Naturalgrassland,-34.12266515,-55.58846305
630108.2129,6210189.212,Naturalgrassland,-34.24127009,-55.58715285
630436.9832,6222084.333,Naturalgrassland,-34.13398387,-55.58537558
630330.7318,6211181.323,Naturalgrassland,-34.23229753,-55.58488685
630685.1644,6211226.57,Naturalgrassland,-34.23184513,-55.58104635
631128.4681,6220710.488,Naturalgrassland,-34.14628374,-55.57767069
631094.1089,6211291.811,Naturalgrassland,-34.23120547,-55.57661722
632183.2303,6210272.957,Naturalgrassland,-34.24025337,-55.56463919
632617.0069,6220369.329,Naturalgrassland,-34.14917148,-55.56147705
632800.0272,6210024.7,Naturalgrassland,-34.242413,-55.55790516
633176.4129,6219703.996,Naturalgrassland,-34.15509875,-55.5553086
633564.9143,6219285.61,Naturalgrassland,-34.15882117,-55.5510309
633804.0484,6209038.115,Naturalgrassland,-34.25117899,-55.54685252
634650.3887,6208373.884,Naturalgrassland,-34.25705815,-55.53756003
634877.5781,6217799.668,Naturalgrassland,-34.17204911,-55.53656342
635387.5839,6218256.562,Naturalgrassland,-34.16786378,-55.53110277
637869.4061,6220102.942,Naturalgrassland,-34.15089236,-55.50447763
638179.6732,6206697.317,Naturalgrassland,-34.27170986,-55.49897128
639166.6319,6204251.624,Naturalgrassland,-34.29362688,-55.48785843
640725.3029,6219817.459,Naturalgrassland,-34.15308487,-55.47346187
641031.1273,6219148.108,Naturalgrassland,-34.15907808,-55.47003659
641250.8663,6205917.095,Naturalgrassland,-34.27833067,-55.46549188
641690.5433,6205715.058,Naturalgrassland,-34.28009219,-55.46068367
642168.0138,6217362.018,Naturalgrassland,-34.17502606,-55.45741414
642238.5373,6216797.83,Naturalgrassland,-34.1801028,-55.45655654
642584.5035,6215858.779,Naturalgrassland,-34.1885214,-55.45264903
642880.7019,6216465.281,Naturalgrassland,-34.18301302,-55.44953574
642771.8121,6206249.598,Naturalgrassland,-34.2751251,-55.44902914
642951.2253,6215929.303,Naturalgrassland,-34.18783536,-55.44868223
643001.7932,6214651.26,Naturalgrassland,-34.19935039,-55.44792251
643185.1541,6213889.607,Naturalgrassland,-34.20619172,-55.44580699
643440.6446,6206856.143,Naturalgrassland,-34.26956484,-55.44186668
643608.2946,6214072.968,Naturalgrassland,-34.2044804,-55.44124597
643967.3815,6207113.529,Naturalgrassland,-34.26717159,-55.4361898
644117.7582,6213094.869,Naturalgrassland,-34.21322782,-55.435555
644851.2017,6212065.227,Naturalgrassland,-34.22240844,-55.42742337
645154.4524,6210986.218,Naturalgrassland,-34.23209362,-55.42395099
646156.0868,6209404.606,Naturalgrassland,-34.24621176,-55.41281153
647065.0935,6202029.645,Naturalgrassland,-34.3125688,-55.40168526
647474.8747,6207535.736,Naturalgrassland,-34.26287343,-55.39817565
647657.4902,6201846.284,Naturalgrassland,-34.31413761,-55.39521781
648187.7918,6199853.278,Naturalgrassland,-34.33202867,-55.38911299
648481.3637,6205931.085,Naturalgrassland,-34.27719592,-55.38697102
648469.8854,6200657.245,Naturalgrassland,-34.32474065,-55.38618635
648907.9198,6205166.578,Naturalgrassland,-34.2840268,-55.38220667
649488.9361,6204785.557,Naturalgrassland,-34.28737816,-55.37583042
649512.5748,6198298.871,Naturalgrassland,-34.34585104,-55.37444651
650020.926,6204859.582,Naturalgrassland,-34.2866341,-55.37006539
650486.3806,6204083.824,Naturalgrassland,-34.29356004,-55.36487467
650739.293,6197483.426,Naturalgrassland,-34.35302425,-55.3609709
650977.2937,6196725.941,Naturalgrassland,-34.35981807,-55.35825081
651325.6093,6204076.772,Naturalgrassland,-34.29350159,-55.355758
651508.9702,6203399.747,Naturalgrassland,-34.29957805,-55.3536473
651950.5169,6197529.908,Naturalgrassland,-34.35242822,-55.34781396
652086.0432,6197089.477,Naturalgrassland,-34.35637865,-55.34626291
653002.8477,6197089.477,Naturalgrassland,-34.35624359,-55.33629755
653327.5466,6202769.31,Naturalgrassland,-34.3049941,-55.33378102
654729.1003,6197430.79,Naturalgrassland,-34.35291031,-55.31759543
654838.8141,6202094.613,Naturalgrassland,-34.31085175,-55.31724284
654799.6237,6196951.231,Naturalgrassland,-34.35722275,-55.31674246
655426.6387,6200844.354,Naturalgrassland,-34.32203432,-55.31063108
655908.6899,6200921.472,Naturalgrassland,-34.32126676,-55.30540755
656470.3082,6196335.384,Naturalgrassland,-34.36252313,-55.29847059
657025.9441,6198812.848,Naturalgrassland,-34.34010618,-55.29288361
657402.4899,6199142.217,Naturalgrassland,-34.33707998,-55.2888519
657415.3221,6196123.813,Naturalgrassland,-34.36428704,-55.28815932
657872.2241,6197860.442,Naturalgrassland,-34.34856291,-55.28351187
658008.9914,6197181.666,Naturalgrassland,-34.35466076,-55.28190058
659045.2963,6197234.534,Naturalgrassland,-34.35402555,-55.27064669
659817.7466,6197314.98,Naturalgrassland,-34.35318148,-55.26226594
578430.6803,6219623.629,Other,-34.16137662,-56.14910279
619571.7701,6194235.587,Other,-34.38637503,-55.6993243
621747.7305,6195764.584,Other,-34.37233582,-55.67587723
622574.6457,6196791.405,Other,-34.36298046,-55.66703253
622944.8458,6197611.797,Other,-34.35553996,-55.66312515
623811.4997,6199969.06,Other,-34.3341838,-55.65404332
624499.204,6201329.769,Other,-34.32183337,-55.64676612
658094.6333,6195145.146,Other,-34.37300552,-55.28059467
569233.5643,6194263.89,Prairie,-34.39071514,-56.24683778
573743.389,6193574.965,Prairie,-34.39661568,-56.19772217
574632.1896,6193392.001,Prairie,-34.39820177,-56.18803754
575434.2053,6209853.944,Prairie,-34.2496977,-56.18075672
576708.1479,6208603.03,Prairie,-34.26088469,-56.16681131
577211.6778,6193026.927,Prairie,-34.40130432,-56.15994366
578281.3494,6208145.689,Prairie,-34.26489145,-56.14968365
578468.5611,6219118.115,Prairie,-34.16593233,-56.1486461
578549.6659,6220567.142,Prairie,-34.15285935,-56.14789751
578900.8918,6208477.644,Prairie,-34.26185117,-56.14298501
579074.3134,6220547.298,Prairie,-34.15299866,-56.14220491
579885.8108,6220301.333,Prairie,-34.15515487,-56.13338004
586453.1373,6194180.506,Prairie,-34.39017069,-56.05952506
586594.819,6202435.438,Prairie,-34.31572264,-56.05881635
587105.4271,6190714.736,Prairie,-34.4213671,-56.05207758
587348.3771,6198917.613,Prairie,-34.34738033,-56.05026962
588437.6023,6203393.457,Prairie,-34.30692847,-56.03888838
590153.8134,6202683.301,Prairie,-34.3131843,-56.02016513
591755.2826,6203251.702,Prairie,-34.30791852,-56.00282249
596767.4295,6189385.906,Prairie,-34.43248882,-55.9467957
597991.2184,6190174.846,Prairie,-34.42525974,-55.93356852
598096.4032,6193393.454,Prairie,-34.39622838,-55.93279267
598282.5756,6192525.66,Prairie,-34.40403538,-55.93066804
598897.799,6211206.175,Prairie,-34.23553716,-55.92612304
598743.5465,6193890.284,Prairie,-34.39168698,-55.92581062
604484.9829,6193592.019,Prairie,-34.39381208,-55.86332613
607193.9909,6211725.676,Prairie,-34.230031,-55.83611942
607882.5621,6211931.133,Prairie,-34.22810727,-55.82867014
613964.2809,6195963.857,Prairie,-34.37142564,-55.76053809
616496.4255,6194096.026,Prairie,-34.38798432,-55.73275096
